4599244443:Aaron Chandler:1908-06-09:major:41
4509452687:Thomas Brock:1917-10-04:major:51
4545164284:Andrew Gutierrez:1993-05-07:ordinary:44
4502979537:Laura Burgess:1965-03-28:ordinary:17
4504620025:Sarah Blackburn:2004-09-06:major:1
4509441259:Brian Key:1992-07-19:ordinary:3
4554273389:Heidi Mathis:2008-09-04:ordinary:18
4514033833:Melinda Rodriguez:1925-10-10:ordinary:82
4516225712:Alyssa Lopez:1942-02-02:major:16
4581516828:Brian Barber Jr.:1988-04-03:major:16
4556968177:Dr. Judy Marsh MD:2004-10-13:ordinary:52
4502121483:Nicholas Swanson:2004-07-26:major:58
4530532719:Kelsey Williams:1917-01-04:ordinary:13
4565215603:Austin Garcia:1988-09-30:ordinary:8
4501491165:Nicholas Sanders:1980-10-16:major:14
4536058971:Randy Gross:1927-06-13:major:41
4591460482:Bryan Whitehead:1991-03-15:ordinary:43
4542570683:Taylor Sanders:1938-12-04:ordinary:67
4582158130:Jose Brooks:1931-07-12:major:4
4503949986:Amber Clark:2015-03-16:ordinary:81
4546268946:John Johnson:1994-01-09:major:70
4550110337:Laura Salazar:1916-04-20:ordinary:74
4566259910:April Wolfe:1950-01-09:major:68
4586021886:Christopher Lawson:1950-02-04:major:23
4539020073:Amy Hines:1926-06-17:ordinary:46
4566979064:Robin Cunningham:1948-11-03:ordinary:40
4594321423:Steven Whitehead:2017-01-20:ordinary:43
4514539747:Candace Clay:1958-02-14:ordinary:22
4570233299:Jaclyn Russell:1954-03-02:major:41
4504533825:George Miller:2005-03-11:ordinary:51
4518372485:Kevin Boyd:1951-10-02:major:13
4513292538:Lisa Davis:1960-05-26:ordinary:59
4569630602:Holly Hill:1946-10-04:ordinary:67
4575015680:Christina Kidd:1973-06-10:ordinary:24
4563680378:Shaun Jackson:1907-10-23:major:59
4586598719:Ricky Johnson:1979-01-31:ordinary:74
4563115339:Michaela Carpenter:2007-10-26:major:71
4522294177:Sonya Mclaughlin:1917-04-29:ordinary:81
4559476275:Cathy Trujillo:1990-08-22:major:62
4546331966:Mary Conner:1999-06-15:major:53
4533922614:Derek Duran:1926-10-23:ordinary:12
4552920513:Bethany Hoffman:1998-10-16:ordinary:14
4523911962:Christine Rodriguez:1959-11-26:major:10
4569643503:Ann Gilbert:2000-04-10:ordinary:9
4553635438:Amy Spencer:1954-05-16:major:37
4583174057:Ann Bates:1919-09-18:major:3
4551173673:Toni Rogers MD:1975-11-05:major:59
4513379427:Annette Watkins:1977-10-26:major:43
4586351746:Jenna Holmes:2015-04-23:major:36
4553175504:Kathryn Nelson:1994-03-20:major:33
4582589507:Andres Reed:1960-12-03:major:45
4525199851:Andres Miller:1976-12-22:ordinary:68
4517108123:Antonio Lutz:2011-05-20:ordinary:54
4506776376:Omar Bolton:1974-08-08:ordinary:81
4582560824:Robin Mitchell:1964-06-25:major:7
4506840226:Austin Walters:1917-04-09:major:4
4575282362:Dennis Washington:1942-11-03:ordinary:77
4532756811:Steven Figueroa:1953-12-17:major:71
4508380384:Francisco Lester:1942-12-08:ordinary:47
4554740229:Sandra Davis:1935-01-27:major:71
4594807065:Kathleen Wood:1993-09-27:ordinary:15
4553966292:Dr. Wanda Farmer:1937-03-07:ordinary:5
4559367797:Douglas Gomez:1906-04-01:ordinary:78
4597869342:Paul Brown:1923-01-07:ordinary:66
4524395237:Peter Giles:1918-08-11:ordinary:49
4585403106:Jennifer Moore:1989-08-13:major:51
4550002485:Laura Steele:1975-05-28:ordinary:67
4526703806:Paul Fleming:1909-06-07:ordinary:68
4579549191:Amanda Sanchez:1991-04-06:major:25
4540839592:James Powers:1908-06-28:ordinary:56
4525199596:Hannah Horn:1995-12-28:ordinary:20
4586002753:Amanda Sparks:1987-11-17:ordinary:60
4527214929:Autumn Bolton:1997-05-12:major:53
4565981385:Nancy Webb:1945-10-05:ordinary:65
4585464131:Christopher Jacobs:1937-04-11:ordinary:39
4583746497:Edward Williams:1938-10-03:ordinary:84
4587877143:Nathaniel Winters:1920-12-04:major:49
4551597458:Julia Davis:1985-04-17:major:17
4581033520:Luke Hernandez:1993-06-30:major:7
4596119234:Katherine Barnes:1912-01-16:ordinary:7
4502515122:Jonathan Klein:1974-04-16:ordinary:20
4508376747:Jack Cruz:1960-11-29:major:3
4540277819:Pam Diaz:1949-11-16:ordinary:48
4554654319:Brittany Erickson:1988-06-28:ordinary:81
4583406321:Keith Long:1920-04-26:major:59
4547292144:Zachary James:1965-02-26:major:46
4545552362:Joshua Hatfield:1934-05-27:major:78
4518486116:Michael Scott:1941-06-21:ordinary:11
4581786994:Kimberly Hunter:1932-04-20:ordinary:3
4547134030:Keith Cherry:1914-06-23:major:22
4556760062:Michael Gallegos:1960-08-23:major:30
4558809988:Joan White:1942-05-28:ordinary:20
4553687084:Cindy Morgan:1952-05-13:major:13
4511305466:Sarah Gonzalez:1944-10-14:ordinary:41
4598350753:Antonio Bryan:1954-01-25:ordinary:70
4533148464:Timothy Gutierrez:1947-11-01:ordinary:39
4522739237:Cynthia Nelson:2014-11-04:major:49
4560312430:Savannah Mitchell:2015-10-26:ordinary:38
4568156588:Tina Obrien:1928-01-15:major:39
4567760685:Melissa Smith:1972-07-24:ordinary:62
4598385476:Catherine Baldwin:1978-06-09:major:52
4541618270:Nicole Cannon:1918-03-18:major:79
4572015517:Robert Thompson:1917-10-06:ordinary:29
4570818151:Roberto Gross:1987-04-28:ordinary:59
4533644117:Todd Best:1988-07-17:ordinary:40
4582776750:Carl Walker:2019-07-30:major:53
4563308024:Cynthia Cherry:1994-02-02:ordinary:76
4559011013:Kevin Whitaker:1922-11-03:ordinary:33
4555818269:Angela Barry:1932-01-10:major:26
4524691509:Antonio Simmons:1953-08-24:major:56
4575918753:Aaron Smith:2005-01-17:ordinary:7
4551860474:Patricia Flores:1977-10-28:major:55
4532666006:Hunter Salinas:1978-03-05:ordinary:28
4550197749:Darlene Knapp:2007-01-17:major:55
4527727777:Pamela Roberts:1981-08-21:ordinary:65
4564869649:Dawn Le:1978-10-14:ordinary:57
4516521481:Claire Kelly:1981-09-12:ordinary:80
4522637899:Kimberly Osborn:1908-07-17:ordinary:39
4564773622:Laurie Dunlap:2019-11-21:major:79
4529878763:Alex Evans:2011-07-04:major:3
4522021604:Steven Gardner:1933-11-30:ordinary:57
4506208804:Angela Byrd:1937-12-27:ordinary:25
4554435742:Raymond Lee:1973-01-24:major:35
4528474136:Lisa Anderson:1975-09-10:ordinary:85
4551586006:Mr. Joshua Acosta:1970-02-07:major:73
4590215315:Sara Lester:2010-10-30:major:58
4584055470:Nathan Rowland:2017-06-17:major:71
4590869040:Richard Holt:1965-07-11:major:69
4593491090:Courtney Williams:1990-04-07:ordinary:5
4592370521:Caleb Holland:1925-06-05:major:44
4546851110:Mary Murphy:1975-07-04:major:24
4500403284:Rebecca Calderon:1927-05-04:ordinary:37
4508170686:Sabrina Griffin:1991-08-26:ordinary:18
4561451797:Adam Johnson:1931-03-08:ordinary:45
4585029623:Melissa Davis:1961-03-21:ordinary:39
4524742245:Kyle Chandler:1914-03-08:major:84
4583879522:Holly Hill:1929-10-07:ordinary:6
4558035800:Michele Mcdonald:1951-10-19:ordinary:83
4571646046:Matthew Vasquez:1962-07-28:ordinary:36
4556957402:Timothy Mathews:1910-01-21:ordinary:77
4531147980:Deborah Houston:2011-01-09:major:22
4511009640:Courtney Serrano:1965-08-24:major:45
4529819155:Andrew Hill:1914-02-03:major:36
4561222861:Pamela Hardy:1969-01-16:ordinary:76
4552603020:Eddie Ray:1959-07-16:major:36
4554045936:Ian Foster:1957-11-06:ordinary:41
4590215000:Samuel Flores:1960-10-20:major:55
4582352337:Carmen Coleman:1977-06-11:ordinary:12
4542927844:Krista Espinoza:1943-06-13:ordinary:17
4546225425:Jordan Ball:1983-05-27:major:49
4555374354:Rebecca Robinson:2015-05-25:major:82
4549273860:Johnathan Gonzalez:1915-07-24:major:85
4534664702:David Davis:1979-04-01:ordinary:64
4535617728:Molly Smith:2016-02-20:major:56
4566596569:Kelly Gutierrez:2003-05-19:major:35
4502914399:Russell Jenkins:1990-02-13:ordinary:11
4504076187:Elizabeth Johnson:1922-08-03:ordinary:10
4516273047:John Griffith:1931-07-30:major:68
4543538569:Joshua Smith:1953-07-20:ordinary:78
4577989603:William Cooley:1970-12-27:major:54
4502246233:Cameron Maxwell:1917-07-31:ordinary:41
4574152945:Kevin Newton:1946-02-01:major:70
4596884233:Maria Castillo:1965-04-18:major:53
4575858105:Alexandra Martinez:1940-04-15:ordinary:10
4509107528:Douglas Dyer:1910-07-11:major:69
4537253697:Richard Jordan:1935-08-26:ordinary:28
4509591102:Allison Davis:1938-04-28:major:12
4567857963:Cynthia Taylor:1958-09-18:major:66
4559190058:Michael Martinez:1958-04-14:ordinary:52
4556334624:Barbara Valenzuela:1997-01-13:major:74
4500347897:Joe Luna:2007-04-08:ordinary:43
4571998087:Mark Owens:1966-07-01:major:5
4580830038:Terry Parsons:1993-02-10:major:3
4585220749:Jordan Wilcox:1928-02-10:major:50
4516590307:Kelly Yang:2016-12-06:ordinary:20
4501748188:Jesse Turner:2017-02-09:major:62
4557253598:Julia Thomas:1963-01-14:ordinary:19
4518747266:Cindy Hill:2000-11-12:major:18
4597250958:Taylor Armstrong:2019-12-12:major:20
4524419823:Stanley Allen:1943-01-01:major:52
4540584824:David Tucker:2003-10-12:ordinary:33
4522869457:Lori Gonzalez:1959-06-08:major:34
4555353845:Christopher Rich:1907-05-23:major:66
4525880606:Leah Salazar:2010-04-15:major:17
4524135825:Cheryl Sullivan:1992-11-19:major:83
4599690343:Matthew Riggs:1987-02-09:ordinary:6
4547971805:Lisa Bennett:1951-09-07:major:82
4590385536:Jaime Long:2008-01-31:ordinary:25
4564546677:Laura Bradford:1910-06-18:major:20
4526546426:Kelly Green:1931-04-09:ordinary:52
4545906452:Mr. John Parker:1996-11-29:major:21
4504010157:Dr. Jessica Reeves:1991-12-17:ordinary:32
4548229893:Ronald Doyle:1938-01-17:ordinary:83
4569154150:John Walker:1919-06-30:ordinary:69
4515883273:Daniel Bailey:1923-12-14:major:52
4596849479:Kristen Stein:2015-04-20:ordinary:38
4555707354:Jeffrey Flores:1942-06-26:ordinary:19
4589479001:Brian Stevens:1986-05-10:ordinary:24
4559318402:Johnny Contreras:1954-04-14:major:40
4582652148:Sandra Rush:1948-02-20:major:32
4583982931:Bradley Lee:1931-07-26:major:37
4584382528:Thomas Dickerson:1977-11-03:ordinary:57
4577589604:Karen Gardner:1985-11-12:major:79
4540437335:Amy Rivera:1931-11-02:ordinary:17
4504859587:Elizabeth Jacobs:1946-12-25:major:44
4514083123:Maureen Vasquez:1914-07-31:major:80
4557151177:Don Holland:1975-05-03:ordinary:68
4574407037:Kristina Phillips:1910-10-22:ordinary:82
4516687909:Andrea Huff:1956-02-26:ordinary:9
4559861984:Barbara Huang:1942-11-09:ordinary:31
4527945461:Kenneth Glenn:1996-09-10:ordinary:57
4514648886:Christy Rush:1908-04-19:ordinary:5
4535149491:Kristin Smith:1974-12-31:major:27
4564244731:Joseph Nelson:1913-06-18:ordinary:42
4533260074:Felicia Hill:1920-11-21:major:35
4519562313:Alison Graham:1960-03-20:major:68
4519808013:Tiffany Perez:1919-05-28:major:5
4556187506:Jasmine Juarez:1959-11-25:ordinary:80
4509858956:Tanya Anderson:1977-01-17:ordinary:27
4531045993:Billy Phillips:2020-04-09:ordinary:46
4568476370:Marie Gallagher:1967-03-20:ordinary:53
4597552286:Stephanie Burch:1941-10-14:major:65
4502451869:Andrea Wallace:2016-12-10:major:14
4590521731:Joseph Fuller:2005-11-25:major:85
4543921604:Kathryn Henry:1982-10-18:ordinary:10
4509232995:Martin Sparks:1925-04-01:major:40
4562526279:Mr. James Farrell:1989-02-10:ordinary:77
4530455675:Dr. Christopher Rogers:2002-05-22:major:76
4533964655:David Graves:1941-05-22:ordinary:79
4530402187:Catherine Lawson:1924-01-06:major:5
4567044526:Amy Brown:1971-06-25:major:50
4565781024:Mary Oneill:2002-03-21:major:33
4503450620:Mario Johnson:1960-10-31:ordinary:19
4567752880:Miss Dana Mcgrath:2010-10-22:ordinary:37
4534885544:Louis Shah:1956-03-08:major:64
4511031163:Sheila Dixon:1965-05-25:major:73
4581590532:Ralph Perez:2019-12-01:ordinary:37
4529982619:Mr. Andrew Hernandez MD:1946-07-24:ordinary:8
4587873869:Jason Schmitt:1965-06-15:ordinary:15
4516708651:Amanda Thomas:1964-05-12:major:76
4573457658:Ronald Taylor:1988-09-01:major:74
4547769353:Kristen Ali:1953-01-06:ordinary:25
4504922652:Darin Warren:1979-08-02:major:19
4501993905:Crystal Spears:1922-07-27:ordinary:20
4547481008:Terry Smith:1942-07-26:ordinary:5
4530561028:Ricky Warren:1973-04-24:major:40
4539750796:Richard Cervantes:1906-08-13:ordinary:68
4526603822:Vanessa Mcdonald:1915-11-14:major:34
4544745622:Patricia Conley:2012-08-02:ordinary:48
4508749752:Vincent Smith:1924-04-30:ordinary:42
4598159623:Christy Soto:1951-10-27:ordinary:38
4558463476:Adam Simmons:2011-03-26:ordinary:66
4508895364:Yvette Smith:1964-10-23:major:49
4569121674:Steve Perez:1932-01-06:ordinary:50
4540849162:Joseph Mccann:1931-11-07:major:52
4585467818:Alison Brown:1930-10-24:major:6
4500810362:Mario Landry:1989-04-01:ordinary:27
4510351596:Michael Alexander:1995-11-28:ordinary:7
4565676715:Zachary Martin:1941-12-11:major:81
4527117320:Matthew Fernandez:2016-04-05:major:68
4551701074:Penny Evans:1988-01-24:major:85
4506293538:Douglas Larson:1926-01-05:ordinary:17
4529735866:Amy Hawkins:1917-05-28:ordinary:70
4577855000:Jennifer Wilson:1961-07-12:ordinary:75
4531726796:Jamie Hawkins:1914-11-28:major:62
4539233176:Susan Poole:1920-01-22:ordinary:9
4548750748:John Barry:1907-11-27:ordinary:74
4500538062:Rachel Jones:1916-04-25:ordinary:5
4566856070:Karen Martin:1994-09-13:ordinary:5
4533531222:Linda Jenkins:1960-05-12:ordinary:24
4522568253:Donald Hoffman:1940-07-23:ordinary:24
4559843728:Shelia Rodriguez:1968-01-10:ordinary:45
4566219678:Kyle Sanders:2007-12-31:major:19
4552361624:Alexander Underwood:1916-12-13:major:72
4510240708:Lisa Davis:1907-10-24:ordinary:81
4507099366:Matthew Smith:1955-05-24:ordinary:85
4578349571:Laurie Schneider:1935-08-25:major:3
4504508115:Erin Thompson:2015-03-28:ordinary:9
4526719989:Dylan Morrison:2017-01-28:major:72
4513930973:Elizabeth Aguirre:2002-09-24:major:1
4522972006:Patrick Kline:1960-10-03:ordinary:2
4570487251:Debbie Irwin:1927-02-09:ordinary:17
4514490165:Holly Phillips:2012-06-24:ordinary:42
4570271230:Alexis Shepherd:1918-01-06:ordinary:32
4581101255:Stephen Warner:1964-10-16:major:65
4520012777:Adam Dawson:1991-12-27:ordinary:10
4580188523:Kathleen Alvarez:1920-11-29:major:1
4559071729:Julie Greene:1999-03-23:major:51
4530777130:Ralph Rowland:2008-03-05:ordinary:40
4535960609:Allison Peterson:1999-06-11:ordinary:81
4539349410:Maria Joseph:1975-01-07:major:14
4532671621:Penny Curtis:1913-08-06:ordinary:42
4542295608:Ashlee Fernandez:2009-02-18:major:70
4545655086:Luke Montoya:2010-02-28:major:17
4545419308:Michael Moore:1953-07-29:ordinary:75
4544775895:Albert Levine:1972-11-27:ordinary:44
4559555391:Danielle Johnson:1989-11-27:major:85
4596982020:Kristen Gould:2013-07-13:ordinary:22
4523150561:Brian Gray:1924-05-24:major:33
4592991074:Michelle Simmons:1918-01-02:major:78
4536387796:Kelly Harmon:1995-07-11:ordinary:33
4581573266:Robert Walters:1962-08-05:ordinary:64
4520350740:Jennifer Preston:1957-06-24:major:28
4578928900:Tony Hardy:1991-10-19:ordinary:42
4514347521:Crystal Miller:1989-02-03:ordinary:79
4505421671:Christine Roberts:1914-10-11:major:24
4534729214:Kevin Young:2013-03-03:ordinary:39
4526996064:Edward Stewart:1930-07-03:major:23
4505091674:Dr. Jessica Barnes:2015-03-26:major:58
4584845579:Janet Gregory:2015-02-02:major:76
4533805632:Terry Wiley:2016-03-02:ordinary:21
4506964240:Courtney Brown:1945-01-03:major:31
4511055984:Gregory Richardson:1968-12-11:major:47
4554232772:Felicia Smith:1976-01-25:ordinary:55
4578259820:Kelly Molina:2021-06-30:major:48
4523850763:Jeff Olson:1935-07-07:ordinary:79
4583987249:Jodi Long:1953-06-29:ordinary:77
4588230155:Brady Ellis:1971-09-23:major:22
4577908435:Brenda Richards:1993-06-15:ordinary:81
4575223850:Rebecca Phelps:1966-05-17:ordinary:73
4535998267:Ashley Miles:1992-10-21:ordinary:54
4532147392:Mike Green:1972-03-31:ordinary:82
4588553482:Xavier Chambers:1907-05-29:major:70
4533427664:Michelle Myers:1960-07-11:major:17
4553801472:Antonio Floyd:1962-01-11:major:30
4504968511:Tanya Banks:1925-03-25:ordinary:17
4587161020:David Dunn:1950-05-14:ordinary:5
4595941922:Franklin Nelson DDS:1981-09-18:ordinary:49
4530056452:Jacqueline Martinez:1938-03-01:ordinary:54
4572625988:Kathryn Lopez:1984-02-15:ordinary:61
4524443680:David Anderson:1934-09-26:major:74
4510051315:Jonathan West:1924-11-03:major:67
4505272200:Suzanne Brown:1979-06-25:ordinary:7
4533244896:Joseph Ingram:1908-06-23:ordinary:14
4523247896:Dr. David Hill:1905-12-20:ordinary:80
4556388017:Joshua Holmes:2020-04-12:ordinary:81
4515293133:Theresa Hines:1949-03-16:ordinary:53
4535068466:Andrew Rodriguez:1918-10-05:ordinary:82
4521303967:Deborah Rubio:1912-08-02:ordinary:32
4560910969:Michael Stafford:1925-09-10:major:84
4527272278:Brian Wilson:1916-08-10:ordinary:15
4553278573:Sierra Nelson:1923-03-11:major:65
4581346696:Sandra Gill:1987-10-17:ordinary:7
4545460991:Jennifer Levine:1972-03-24:major:84
4531444171:Alvin Cherry:1967-07-25:major:62
4519699674:Beverly Nelson:1905-11-04:ordinary:2
4540676216:Scott Taylor:1948-07-04:major:53
4566161108:Eric Lopez:2008-12-03:major:63
4597536694:Phillip Smith:1930-12-06:major:11
4554897994:Thomas Nielsen:2000-08-21:ordinary:83
4554213873:Margaret Hodges:1926-08-19:major:16
4517266124:Rachel Stewart:1907-05-17:major:63
4534828046:Colton Russell:2007-05-07:ordinary:26
4520758768:Anita Hall:1958-06-01:major:71
4554515433:Terri Martin:2016-11-17:major:61
4549259978:Laurie Baker:1968-01-23:ordinary:5
4547956990:Alexis Clark:2011-06-30:major:28
4534086315:Don Adams:1933-09-23:ordinary:20
4507010189:Carrie Robertson:1937-10-14:ordinary:43
4552172895:Anita Flynn:1928-12-02:ordinary:17
4570699241:Andrea Rich:2014-05-20:major:51
4575419644:Brian Mercado:1942-07-29:major:32
4539055057:Laurie Bennett:1940-07-05:major:84
4535934147:Jennifer Stanley:2004-11-15:ordinary:35
4551832784:Vincent Williams:1977-06-08:major:39
4581730514:John Griffin:1994-08-23:major:25
4556122378:Jordan Davenport:1918-12-12:major:18
4567707179:Maria Lang:1999-02-22:ordinary:78
4595856767:Janet Glass:1971-01-30:major:52
4553118257:Gabriella Jackson:1925-09-26:major:54
4584565040:Linda Jackson:1987-03-25:ordinary:14
4546890436:William Larson:1925-04-16:ordinary:81
4564441011:Lisa Graham:1970-10-14:ordinary:80
4547933793:Chelsea Jordan:1970-06-18:major:28
4556830279:David Adams:1991-09-05:major:81
4520094227:Elizabeth Turner:1917-06-16:major:66
4576070011:Jasmine Raymond:1966-12-04:major:21
4514619770:William Powers:1961-04-14:ordinary:15
4577392475:Krystal Riddle:2020-03-19:ordinary:9
4539629658:Danielle James:1924-10-16:ordinary:39
4540666573:Dana Mahoney:1912-04-12:ordinary:15
4532466246:Nicholas Wagner:1927-06-05:ordinary:15
4589440389:Jerome Campbell:1976-10-29:major:3
4537771227:Henry Nichols:1932-05-15:major:1
4535369566:Jason Henry:1921-09-18:major:37
4545065488:Jamie Graham:2013-07-25:major:54
4515676284:William Walls:1956-06-01:ordinary:76
4524663540:Brandon Willis:1991-03-08:major:40
4574255619:Shelly Guzman:1938-11-03:ordinary:19
4544995578:Tonya Gonzalez:1955-03-17:major:84
4545859726:Sean Collins:1959-01-05:ordinary:6
4521314004:Lisa Price:1981-05-26:ordinary:55
4566840767:Shelby Brooks:2011-01-05:major:5
4512286974:Damon Griffith:2017-08-08:major:37
4506904603:Samantha Weeks:1981-05-22:ordinary:17
4521862971:Hannah Booth:2006-09-07:ordinary:26
4562286609:Deborah Lyons:2002-11-23:ordinary:24
4542936853:Stacy Barber:1963-01-22:ordinary:69
4501511456:Carl Hicks:1924-08-03:ordinary:81
4567714440:Breanna Bryant:1986-04-08:ordinary:31
4502833744:Lance Morse:1922-07-01:major:39
4509795894:James Davis:1974-04-23:ordinary:14
4571388694:Samuel Baxter:1989-09-18:ordinary:83
4513225248:Melissa Ibarra:1934-07-30:ordinary:78
4522022498:Mary Scott:1959-11-11:ordinary:33
4526205153:Erica Green:2010-07-29:ordinary:29
4563989523:Claire Edwards:1975-09-06:major:42
4500342477:Alexander Gray:1997-09-20:ordinary:60
4503547542:John Howe:1934-09-13:ordinary:65
4590847459:Kenneth Mccullough:1982-01-07:ordinary:34
4529823955:Kristina Steele:1951-12-23:major:78
4529050985:Andrew Gonzalez:1930-02-09:major:70
4590257744:Maria Gutierrez:1941-02-05:ordinary:2
4508540945:Sarah Rogers:1983-08-23:major:47
4576454936:Timothy Hardy:1907-11-14:major:7
4577654103:Frank Potter:1986-09-21:ordinary:3
4539013781:Russell Rich:1926-11-04:ordinary:56
4514522391:Mrs. Susan Hamilton:1932-04-05:ordinary:26
4599501588:Mike Gallagher:1926-03-29:major:51
4502994449:Rebecca Mcbride:2017-07-11:major:57
4526709637:Rachel Ramsey:1949-05-10:ordinary:52
4582204266:Ruth Martinez:1916-05-14:ordinary:69
4552592836:Larry Larson:1980-03-01:ordinary:36
4502609639:Francis Douglas:1996-08-30:ordinary:53
4520051381:Jacob Floyd:1955-06-24:ordinary:28
4540448787:Matthew Whitaker:1974-10-30:major:76
4515889006:James Edwards:1996-06-15:ordinary:32
4596965586:James Parker:2004-01-22:ordinary:52
4520536111:Daniel Cowan MD:2009-06-12:major:51
4555646042:Vanessa Lee:2021-01-22:ordinary:37
4561614478:Mr. Michael Juarez:1981-01-25:major:52
4578125172:Ashley Mccoy:2003-06-16:major:11
4504163525:Wesley Rodriguez:1964-05-07:major:41
4501476779:Anthony Cook:2019-06-19:ordinary:39
4573945412:Lance Torres:1956-04-07:ordinary:6
4547872228:Julie Keller:2014-08-18:major:11
4515420081:Beth Torres:1933-12-31:major:15
4534898142:Jessica Sullivan:2003-10-11:ordinary:58
4560894717:Melissa Poole:1915-11-12:ordinary:22
4512821440:William Smith:1909-01-11:ordinary:56
4553101732:Spencer Grant:2015-02-09:ordinary:77
4552098129:Roger Smith:1976-05-08:major:34
4526448122:Tyler Taylor:2020-10-14:ordinary:38
4520408205:Jessica Williams:1964-03-19:ordinary:34
4559169205:Michael Johnson:1934-12-01:ordinary:20
4580220828:Kendra Walton:1929-09-13:ordinary:36
4523960659:Taylor Holloway:2020-10-25:ordinary:79
4582187063:Katie Lewis:2000-02-22:major:52
4542364157:Barry Maldonado:1925-01-10:ordinary:35
4548962455:Sean Smith:1964-12-07:major:28
4548047638:David Anderson:1931-10-09:major:42
4521712570:Dana Armstrong:1998-01-28:major:9
4593814853:Robert Carpenter:1934-07-08:ordinary:19
4530428867:Michelle Aguirre:1926-08-23:major:32
4550728332:Suzanne Banks:1979-03-08:ordinary:20
4514815301:Thomas Mathews:1936-12-27:major:59
4516195750:Rachel Burke:1992-12-03:ordinary:7
4507567210:Bradley Hunter:1909-11-02:major:57
4556285786:Connie Gonzales:1941-05-17:major:1
4548276347:Elizabeth Smith:1941-07-27:major:82
4595582702:Ryan Lopez:1972-03-06:ordinary:70
4568557837:Jason Moore:1933-07-25:major:57
4577804752:Amy Evans:2017-09-30:ordinary:23
4555938611:James Little:1916-10-31:ordinary:47
4507081407:Michael Brown:1915-10-15:ordinary:62
